"","annee_naissance","age","emploi","revenu","genre","citoyennete","ethnie","minorite","education","religion","reseau_social","residence","naissance_pays_residence","cohabitation","droit_vote","province","naissance_province_residence","classe_sociale","classe_sociale_parents","langue","province_naissance_parents","pays_naissance_parents","climat_social","covid_satisfaction","covid_soin","covid_gestion","covid_inquietude","covid_jeune","covid_politiques","immigration_ouverture","immigration_syrie","climat_economie","transition_energetique_taxes","climat_impact","confiance_police","securite_quartier","securite_gouvernement","securite_immigration","securite_frontieres","immigration_quotas","minorites_partis","corruption","corruption_participation","corruption_evaluation_partis","mondialisation","economie_sociotropique","economie_egotropique","economie_satisfaction","economie_preoccupation","economie_criteres","economieCANADA_confiance","economieFRANCE_confiance","immigrationCANADA_confiance","immigrationFRANCE_confiance","deficit","representation_minorites","enjeux_chomage","enjeux_environnement","enjeux_immigration","enjeux_economie","enjeux_education","enjeux_sante","importance_immigration","importance_ecologie","inquietude_attentats","ideologie","satisfaction_democracie","satisfaction_gouvernement","institutions_democratiques","vote_demonstration","confiance_ChefEtat","altruisme_politiques","education_civique","ecoles","comprehension_elites","importance_vote","importance_representation","disproportion_electorale","partis_votes","votes_objectif","votes_delais","reedition_compte","importance_chef","interet_politique","interet_politiqueUS","connaissances_politiqueUS","engagement_politique","proche_parti","importance_traits","trait_integrite","trait_leadership","trait_competence","trait_empathie","representation_partis","mode_scrutin","changement_scrutin","vote_nationaliste","integration_localite","parti_liberal","parti_conservateur","ndp","bloc_quebecois","parti_vert","source_information","reseausociaux_cause","medias_traditionnels","consultation_sondage1","consultation_sondageCANADA","consultation_sondageFRANCE","principale_source","engagement_reseauxsociaux","abonnements_personnalites","frequence_utilisation","inscription_reseauxsociaux","contact_information","plateforme","couverture_influence","medias_neutralite","influence_medias","biais_medias","chaines_independance","niveau_information","effet_debats","importance_debatsTV","confiance_contenuRS","confiance_TVRadio","confiance_presseecrite","site_parti","like_parti","sophistication_etatsunis","sophistication_freeland","sophistication_legault","sophistication_macron","sophistication_pence","sophistication_singh","participation","vote_quebec2018_CAQ","vote_quebec2018_PQ","vote_quebec2018_PLQ","vote_quebec2018_QS","vote_quebec2018_vert","vote_quebec2018_autre","vote_quebec2018_bulletinnul","vote_quebec2018_pasvote","vote_US","vote_habitude","vote_memeparti","vote_france_enmarche","vote_france_republicains","vote_france_verts","vote_france_PS","vote_france_RN","vote_france_insoumise","vote_canada_liberal","vote_canada_conservateur","vote_canada_npd","vote_canada_bloc","vote_canada_vert","vote_canada_autre","vote_quebec_CAQ","vote_quebec_PQ","vote_quebec_PLQ","vote_quebec_QS","vote_quebec_vert","vote_quebec_autre","anciens_presidents","vote_strategique","aucune_preference","preference_parti","satisfaction_modescrutin","vote_chancesfavoris","importance_competence","motivation","premier_choix","strategie_vote2","autrechoix_frequence","refus_voteCANADA","refus_voteFRANCE","ideologie_VD","vote_nationaliste_VD","participation_VD","vote_quebec2018_CAQ_VD","vote_quebec2018_PQ_VD","vote_quebec2018_PLQ_VD","vote_quebec2018_QS_VD","vote_quebec2018_vert_VD","vote_quebec2018_autre_VD","vote_quebec2018_bulletinnul_VD","vote_quebec2018_pasvote_VD","vote_US_VD","vote_france_enmarche_VD","vote_france_republicains_VD","vote_france_verts_VD","vote_france_PS_VD","vote_france_RN_VD","vote_france_insoumise_VD","vote_canada_liberal_VD","vote_canada_conservateur_VD","vote_canada_npd_VD","vote_canada_bloc_VD","vote_canada_vert_VD","vote_canada_autre_VD","vote_quebec_CAQ_VD","vote_quebec_PQ_VD","vote_quebec_PLQ_VD","vote_quebec_QS_VD","vote_quebec_vert_VD","vote_quebec_autre_VD","anciens_presidents_VD","vote_strategique_VD","changement_scrutin_VD","age_categories"
"311",1996,24,"Étudiant","1.moins de $30,000","1.Homme","Canada","Français",2,"3.Universitaire premier cycle","3.Pas très important","oui, quelques-uns","Canada",1,1,1,"QC",1,"classe moyenne",1,1,"oui","oui",NA,"3.Peu satisfait",1,"3.Peu satisfait",8,"NPD","Les politiques sont adéquates, mais l'économie souffre","2.Un peu plus d'ouverture","5.Plutôt en désaccord","1.Fortement d’accord","4.Assez en désaccord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord",NA,"2.Plutôt d’accord","5.Plutôt en désaccord","NDP","3.Peu répandue",7,5,"2.Plutôt bonne opinion","détériorée","détériorée","5.Sans opinion","3.Peu","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Parti libéral",NA,"NPD",NA,NA,"2.Plus importante",6,5,2,3,4,1,8,"2.Un peu",NA,6,"2.Assez satisfait","2.Moyennement satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, cela n'a rien à voir","5.Beaucoup confiance","4.Correctement","4.Assez en désaccord","1.Fortement d’accord","4.Assez en désaccord","3.Ni en accord, ni en désaccord","4.Assez en désaccord","4.Assez en désaccord","4.Assez en désaccord",NA,"1.Fortement d’accord","2.Plutôt d’accord",10,3,"2.Intéressé",7,"Le vote","Non",10,2,1,3,4,"2.De manière satisfaisante","2.Satisfait","4.Plutôt en défaveur",0,6,8,2,7,NA,NA,"Réseaux sociaux","Non","3.Peu","Non",NA,NA,"Réseaux sociaux","Un peu","Non","6.2-3 heures/jour",4,"3.Souvent","Facebook","3.Peu","2.Plutôt d’accord",NA,"4.Assez en désaccord","3.Ni en accord, ni en désaccord","3.Pas très informé",2,7,"3.Moyennement confiance","3.Moyennement confiance","4.Beaucoup confiance","Non","Oui",NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,1,2,"Non, mais la plupart du temps",2,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,"Macron",6,"Choisir l'option la moins pire","Voter pour le parti adverse en espérant passer un message","2.Satisfait","J'irais probablement voter",4,"L'idéologie",NA,NA,"3.Une élection sur trois","Parti conservateur",NA,6,0,1,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,5,6,4,"1.Moins de 25 ans"
"312",1996,24,"Étudiant","1.moins de $30,000","1.Homme","Canada","Français",2,"3.Universitaire premier cycle","3.Pas très important","oui, quelques-uns","Canada",1,1,1,"QC",1,"classe ouvrière",1,1,"oui","oui","détérioré","4.Très insatisfait",2,"4.Très insatisfait",7,NA,"Les politiques sont mauvaises","3.Neutre","5.Plutôt en désaccord",NA,NA,NA,"4.Assez en désaccord","4.Assez en désaccord","4.Assez en désaccord",NA,"4.Assez en désaccord","5.Plutôt en désaccord","Parti libéral","3.Peu répandue",8,6,"3.Ni bonne ni mauvaise opinion",NA,"resté stable","3.Peu satisfaisant","2.Moyennement",NA,"Non, aucun",NA,NA,NA,NA,"3.Ni plus ni moins importante",5,6,2,4,3,1,3,"4.Ne sais pas",NA,4,"3.Peu satisfait","3.Peu satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","1.Pas confiance","1.Pas du tout","2.Plutôt d’accord",NA,"1.Fortement d’accord",NA,"1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","3.Ni en accord, ni en désaccord",4,6,"4.Peu intéressé",4,NA,"Non",5,1,3,2,4,"3.Pas vraiment","4.Peu satisfait","1.Tout à fait en faveur",3,9,NA,NA,NA,NA,NA,"Articles internet","Non","3.Peu","Non",NA,NA,"Réseaux sociaux","Un peu","Non","5.1-2 heure/jour",3,"3.Souvent","Facebook","3.Peu","1.Fortement d’accord",NA,"4.Assez en désaccord","5.Plutôt en désaccord","3.Pas très informé",6,4,"2.Un peu confiance","2.Un peu confiance","2.Un peu confiance","Non","Oui",1,1,1,1,1,1,2,0,0,0,0,0,0,0,1,NA,"Non, jamais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ne pas voter","Ne pas voter","5.Pas du tout satisfait","J'irais certainement voter",10,"L'idéologie",NA,NA,NA,NA,NA,4,3,2,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1.Moins de 25 ans"
"313",1996,24,"Étudiant","1.moins de $30,000","1.Homme","Canada","Français",2,"4.Universitaire deuxième cycle et plus","2.Assez important","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe supérieure",1,1,"oui","oui","détérioré","2.Satisfait",2,"3.Peu satisfait",7,"Parti libéral","Les politiques sont adéquates, mais l'économie souffre","2.Un peu plus d'ouverture","5.Plutôt en désaccord","3.Ni en accord, ni en désaccord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","2.Plutôt d’accord",NA,"4.Assez en désaccord","4.Assez en désaccord","Parti libéral","3.Peu répandue",1,10,"2.Plutôt bonne opinion","détériorée","améliorée","3.Peu satisfaisant","1.Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Parti libéral",NA,"Parti libéral",NA,2,"3.Ni plus ni moins importante",4,2,5,6,1,3,3,"1.Beaucoup",NA,4,"3.Peu satisfait","2.Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Non, pas envers l’élite politique mais la démocratie seulement","2.Peu confiance","5.Beaucoup","2.Plutôt d’accord","1.Fortement d’accord","4.Assez en désaccord","1.Fortement d’accord","1.Fortement d’accord","5.Plutôt en désaccord","5.Plutôt en désaccord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord",10,10,"2.Intéressé",7,"Manifestations, pétitions et vote","Oui",4,2,1,3,4,"1.Tout à fait","2.Satisfait","4.Plutôt en défaveur",10,10,4,3,3,7,2,"Journaux","Je n'utilise pas les réseaux sociaux","1.Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","4.Moins d'une heure/jour",1,"2.Rarement",NA,"3.Peu","6.Fortement en désaccord",NA,"4.Assez en désaccord","3.Ni en accord, ni en désaccord","1.Bien informé",0,NA,"2.Un peu confiance","2.Un peu confiance","3.Moyennement confiance","Non","Oui",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,"Chirac",10,"Ne pas voter","Voter pour ce parti quand même","2.Satisfait","J'irais certainement voter",3,"L'idéologie","Oui",NA,"2.Une élection sur deux","Parti vert",NA,4,10,1,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,2,10,4,"1.Moins de 25 ans"
"314",1996,24,"Étudiant","1.moins de $30,000","1.Homme","Canada","Français",2,"4.Universitaire deuxième cycle et plus","4.Pas important du tout","oui, beaucoup","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"non","oui",NA,"2.Satisfait",2,"2.Satisfait",6,"Parti libéral","Les politiques sont idéales","1.Beaucoup plus d'ouverture","4.Assez en désaccord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","2.Plutôt d’accord",NA,"3.Ni en accord, ni en désaccord","4.Assez en désaccord","NDP","3.Peu répandue",11,5,"3.Ni bonne ni mauvaise opinion","détériorée","améliorée","2.Assez satisfaisant","1.Grandement","Je vais davantage m’intéresser aux politiques proposées","Parti vert",NA,"NPD",NA,NA,"2.Plus importante",2,4,5,6,3,1,5,"1.Beaucoup",NA,4,"2.Assez satisfait","2.Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Oui, totalement","4.Moyennement confiance","4.Correctement","6.Fortement en désaccord","1.Fortement d’accord","3.Ni en accord, ni en désaccord","1.Fortement d’accord","2.Plutôt d’accord",NA,"3.Ni en accord, ni en désaccord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord",5,10,"2.Intéressé",7,"Manifestations, pétitions et vote","Oui",5,1,3,4,2,"2.De manière satisfaisante","2.Satisfait","1.Tout à fait en faveur",0,9,8,0,8,0,10,NA,"Oui, plusieurs fois","2.Assez","Oui","Parti conservateur",NA,"journaux en ligne-papier","Un peu","Oui, de tous bords politiques","7.plus de 3 heures/jour",4,"4.Systématiquement","Facebook","2.Assez","1.Fortement d’accord",NA,"1.Fortement d’accord",NA,"1.Bien informé",0,5,"3.Moyennement confiance","1.Pas confiance","3.Moyennement confiance","Non","Non",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,"Macron",8,NA,"Voter pour ce parti quand même","2.Satisfait","J'irais certainement voter",10,"L'idéologie",NA,NA,NA,"Parti conservateur",NA,4,0,1,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,5,8,1,"1.Moins de 25 ans"
"315",1996,24,"Étudiant","1.moins de $30,000","1.Homme","Canada",NA,1,"2.Secondaire / Collégiales / CEGEP / Lycée / DEP","2.Assez important","oui, quelques-uns","Canada",NA,1,1,NA,NA,"classe moyenne",1,2,"non","non","resté stable","3.Peu satisfait",1,"3.Peu satisfait",3,"NPD","Les politiques sont adéquates, mais l'économie souffre","2.Un peu plus d'ouverture","4.Assez en désaccord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","5.Plutôt en désaccord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord",NA,"4.Assez en désaccord","4.Assez en désaccord","Parti libéral","2.Assez répandue",4,5,"2.Plutôt bonne opinion","détériorée","améliorée","3.Peu satisfaisant","3.Peu","Je vais davantage m’intéresser aux politiques proposées","NPD",NA,"NPD",NA,2,"1.Beaucoup plus importante",5,6,4,2,3,1,7,"3.Aucune",NA,3,"2.Assez satisfait","2.Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, cela n'a rien à voir","3.Confiance","2.Peu","2.Plutôt d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","4.Assez en désaccord","2.Plutôt d’accord","2.Plutôt d’accord",10,4,"2.Intéressé",6,"Le vote","Oui",5,1,3,4,2,"2.De manière satisfaisante","2.Satisfait","4.Plutôt en défaveur",NA,10,6,3,10,1,5,"Articles internet","Oui, plusieurs fois","2.Assez","Non",NA,NA,"journaux en ligne-papier","Un peu","Oui, ceux qui partagent les opinions","3.Plusieurs fois par semaine",4,"3.Souvent","Facebook","2.Assez","1.Fortement d’accord",NA,"1.Fortement d’accord","4.Assez en désaccord","2.Plutôt informé",7,10,"3.Moyennement confiance","3.Moyennement confiance","3.Moyennement confiance","Non","Oui",1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,"Macron",3,"Choisir l'option la moins pire","Voter pour ce parti quand même",NA,"J'irais certainement voter",10,"L'idéologie","Oui",NA,"5.À aucune élection","Bloc Québécois",NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,5,3,4,"1.Moins de 25 ans"
"316",1996,24,"Étudiant","1.moins de $30,000","1.Homme","France",NA,2,"4.Universitaire deuxième cycle et plus","3.Pas très important","oui, quelques-uns","France",1,2,1,NA,NA,"classe supérieure",1,1,"oui","oui","détérioré","3.Peu satisfait",2,"3.Peu satisfait",4,"Parti libéral","Les politiques sont adéquates, mais l'économie souffre","5.Beaucoup moins d'ouverture","1.Fortement d’accord","2.Plutôt d’accord","4.Assez en désaccord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord",NA,"1.Fortement d’accord","1.Fortement d’accord","NDP","2.Assez répandue",9,6,"3.Ni bonne ni mauvaise opinion","détériorée","resté stable","2.Assez satisfaisant","2.Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,"Aucun",NA,"Républicains",2,"3.Ni plus ni moins importante",1,3,5,6,4,2,8,"2.Un peu","2.Plutôt inquiet",8,"2.Assez satisfait","3.Peu satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, pas envers l’élite politique mais la démocratie seulement","2.Peu confiance","2.Peu","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord",5,8,"3.Indifférent",6,"Le vote","Oui",4,3,1,2,4,"3.Pas vraiment","3.Neutre","2.Plutôt en faveur",NA,9,4,3,3,3,4,"Journaux","Non","1.Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","2.Rarement",1,"2.Rarement","Facebook","2.Assez","4.Assez en désaccord",NA,"2.Plutôt d’accord","6.Fortement en désaccord","2.Plutôt informé",4,7,"2.Un peu confiance","2.Un peu confiance","3.Moyennement confiance","Non","Oui",1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Oui, je vote toujours",2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Gaulle",9,"Choisir l'option la moins pire","Voter pour ce parti quand même","3.Ni satisfait, ni insatisfait","J'irais certainement voter",6,"L'idéologie","Oui",NA,"3.Une élection sur trois",NA,"France insoumise",8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,2,"1.Moins de 25 ans"
"317",1996,24,"Étudiant","1.moins de $30,000","2.Femme","Canada","Français",2,"3.Universitaire premier cycle","4.Pas important du tout","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",2,1,"oui","oui","détérioré","3.Peu satisfait",2,"3.Peu satisfait",7,"NPD","Les politiques sont mauvaises","2.Un peu plus d'ouverture","5.Plutôt en désaccord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","4.Assez en désaccord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord",NA,"4.Assez en désaccord","4.Assez en désaccord","NDP","1.Très répandue",4,5,"3.Ni bonne ni mauvaise opinion","détériorée","améliorée","2.Assez satisfaisant","2.Moyennement","Je vais davantage m’intéresser aux politiques proposées","NPD",NA,"NPD",NA,2,"1.Beaucoup plus importante",2,5,3,1,6,4,7,"1.Beaucoup",NA,2,"3.Peu satisfait","3.Peu satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","2.Peu confiance",NA,"6.Fortement en désaccord","1.Fortement d’accord","5.Plutôt en désaccord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","5.Plutôt en désaccord","3.Ni en accord, ni en désaccord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord",6,6,"2.Intéressé",3,"Manifestations, pétitions et vote","Ne sais pas",6,1,4,3,2,"3.Pas vraiment","3.Neutre","2.Plutôt en faveur",7,10,2,0,6,2,7,"Réseaux sociaux","Oui, plusieurs fois","3.Peu","Non",NA,NA,"Réseaux sociaux","Un peu","Oui, ceux qui partagent les opinions","6.2-3 heures/jour",2,"3.Souvent","Autre","3.Peu","1.Fortement d’accord",NA,"3.Ni en accord, ni en désaccord","5.Plutôt en désaccord","2.Plutôt informé",4,4,"3.Moyennement confiance","3.Moyennement confiance","3.Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,7,"Ne pas voter","Voter pour ce parti quand même","3.Ni satisfait, ni insatisfait","J'irais certainement voter",7,"L'idéologie","Oui",NA,"5.À aucune élection","Parti conservateur",NA,2,7,1,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,7,2,"1.Moins de 25 ans"
"318",1996,24,"Étudiant","1.moins de $30,000","2.Femme","France",NA,1,"3.Universitaire premier cycle","2.Assez important","oui, beaucoup","France",1,1,1,NA,NA,"classe moyenne",2,1,"non","non","détérioré","3.Peu satisfait",1,"3.Peu satisfait",3,"Parti libéral","Les politiques sont adéquates, mais l'économie souffre","2.Un peu plus d'ouverture","5.Plutôt en désaccord","3.Ni en accord, ni en désaccord","4.Assez en désaccord","2.Plutôt d’accord","4.Assez en désaccord","3.Ni en accord, ni en désaccord","1.Fortement d’accord",NA,"2.Plutôt d’accord","4.Assez en désaccord","Je ne sais pas","2.Assez répandue",11,10,"2.Plutôt bonne opinion","détériorée","améliorée","2.Assez satisfaisant","4.Pas du tout","Je vais davantage m’intéresser aux politiques proposées",NA,"Aucun",NA,"Aucun",1,"1.Beaucoup plus importante",5,6,4,3,1,2,7,"3.Aucune","3.Peu inquiet",5,"3.Peu satisfait","3.Peu satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique",NA,"3.Confiance","2.Peu","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","4.Assez en désaccord",4,0,"3.Indifférent",5,"pas sûr","Non",4,1,2,4,3,"3.Pas vraiment",NA,NA,NA,0,5,5,5,5,5,"Articles internet","Non","3.Peu","Ne sais pas",NA,NA,"Réseaux sociaux","Pas du tout","Oui, de tous bords politiques","3.Plusieurs fois par semaine",3,"3.Souvent","Facebook","4.Pas du tout","4.Assez en désaccord",NA,"4.Assez en désaccord","2.Plutôt d’accord","3.Pas très informé",3,2,"3.Moyennement confiance","2.Un peu confiance","2.Un peu confiance","Incertain","Non",0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"Non, mais la plupart du temps",1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hollande",3,"Ne pas voter","Ne pas voter","4.Pas satisfait","Je n'irais probablement pas voter",2,"Le candidat","Non","Ne sais pas","3.Une élection sur trois",NA,"Républicains",5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,"1.Moins de 25 ans"
"319",1996,24,"Étudiant","1.moins de $30,000","2.Femme","France",NA,2,"4.Universitaire deuxième cycle et plus","3.Pas très important","oui, quelques-uns","Belgique",2,NA,1,NA,NA,"classe moyenne",1,1,"non","non","détérioré","3.Peu satisfait",1,"2.Satisfait",7,NA,NA,NA,"3.Ni en accord, ni en désaccord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord",NA,NA,"3.Ni en accord, ni en désaccord",NA,"3.Ni en accord, ni en désaccord","3.Ni en accord, ni en désaccord","Je ne sais pas",NA,6,9,"3.Ni bonne ni mauvaise opinion","resté stable","resté stable",NA,"3.Peu",NA,NA,NA,NA,NA,1,NA,2,5,6,4,3,1,6,"1.Beaucoup",NA,5,NA,"2.Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins",NA,"3.Moyennement","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord",NA,NA,NA,"3.Ni en accord, ni en désaccord",5,4,"4.Peu intéressé",2,"pas sûr","Non",7,4,3,2,1,"3.Pas vraiment",NA,"3.Sans opinion, neutre",NA,5,NA,NA,NA,NA,NA,NA,"Oui, une fois","2.Assez","Non",NA,NA,NA,"Pas du tout","Non","5.1-2 heure/jour",2,"2.Rarement",NA,"3.Peu","3.Ni en accord, ni en désaccord",NA,"3.Ni en accord, ni en désaccord","4.Assez en désaccord","3.Pas très informé",2,2,"3.Moyennement confiance","3.Moyennement confiance","2.Un peu confiance","Oui","Oui",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Non, mais la plupart du temps",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Choisir l'option la moins pire","Voter pour ce parti quand même","3.Ni satisfait, ni insatisfait","J'irais probablement voter",10,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,"1.Moins de 25 ans"
"320",1996,24,"Étudiant","2.$30,000 à $60,000","2.Femme","Canada","Français",2,"3.Universitaire premier cycle","2.Assez important","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","3.Peu satisfait",2,"3.Peu satisfait",5,"NPD","Les politiques sont adéquates, mais l'économie souffre","1.Beaucoup plus d'ouverture","5.Plutôt en désaccord","1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","3.Ni en accord, ni en désaccord",NA,"3.Ni en accord, ni en désaccord","5.Plutôt en désaccord","NDP","1.Très répandue",11,10,"4.Plutôt mauvaise opinion",NA,"resté stable","3.Peu satisfaisant","2.Moyennement",NA,"NPD",NA,NA,NA,2,"1.Beaucoup plus importante",5,2,3,6,1,4,3,"2.Un peu",NA,1,"3.Peu satisfait","3.Peu satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, pas envers l’élite politique mais la démocratie seulement","4.Moyennement confiance","1.Pas du tout","5.Plutôt en désaccord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","5.Plutôt en désaccord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord",10,3,"3.Indifférent",2,"Le vote","Oui",8,4,3,1,2,NA,NA,"1.Tout à fait en faveur",NA,6,5,0,9,7,6,"Articles internet","Oui, plusieurs fois","3.Peu","Non",NA,NA,"Réseaux sociaux","Un peu","Oui, ceux qui partagent les opinions","7.plus de 3 heures/jour",4,"2.Rarement","Facebook","2.Assez","2.Plutôt d’accord",NA,"2.Plutôt d’accord","6.Fortement en désaccord","3.Pas très informé",6,6,"1.Pas confiance","2.Un peu confiance","2.Un peu confiance","Non","Oui",NA,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,8,NA,"Voter pour le parti adverse en espérant passer un message","4.Pas satisfait","J'irais certainement voter",7,"Le candidat","Non","Oui","1.Toutes les élections",NA,NA,1,NA,1,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,8,1,"1.Moins de 25 ans"
