"","annee_naissance","age","emploi","revenu","genre","citoyennete","ethnie","minorite","education","religion","reseau_social","residence","naissance_pays_residence","cohabitation","droit_vote","province","naissance_province_residence","classe_sociale","classe_sociale_parents","langue","province_naissance_parents","pays_naissance_parents","climat_social","covid_satisfaction","covid_soin","covid_gestion","covid_inquietude","covid_jeune","covid_politiques","immigration_ouverture","immigration_syrie","climat_economie","transition_energetique_taxes","climat_impact","confiance_police","securite_quartier","securite_gouvernement","securite_immigration","securite_frontieres","immigration_quotas","minorites_partis","corruption","corruption_participation","corruption_evaluation_partis","mondialisation","economie_sociotropique","economie_egotropique","economie_satisfaction","economie_preoccupation","economie_criteres","economieCANADA_confiance","economieFRANCE_confiance","immigrationCANADA_confiance","immigrationFRANCE_confiance","deficit","representation_minorites","enjeux_chomage","enjeux_environnement","enjeux_immigration","enjeux_economie","enjeux_education","enjeux_sante","importance_immigration","importance_ecologie","inquietude_attentats","ideologie","satisfaction_democracie","satisfaction_gouvernement","institutions_democratiques","vote_demonstration","confiance_ChefEtat","altruisme_politiques","education_civique","ecoles","comprehension_elites","importance_vote","importance_representation","disproportion_electorale","partis_votes","votes_objectif","votes_delais","reedition_compte","importance_chef","interet_politique","interet_politiqueUS","connaissances_politiqueUS","engagement_politique","proche_parti","importance_traits","trait_integrite","trait_leadership","trait_competence","trait_empathie","representation_partis","mode_scrutin","changement_scrutin","vote_nationaliste","integration_localite","parti_liberal","parti_conservateur","ndp","bloc_quebecois","parti_vert","source_information","reseausociaux_cause","medias_traditionnels","consultation_sondage1","consultation_sondageCANADA","consultation_sondageFRANCE","principale_source","engagement_reseauxsociaux","abonnements_personnalites","frequence_utilisation","inscription_reseauxsociaux","contact_information","plateforme","couverture_influence","medias_neutralite","influence_medias","biais_medias","chaines_independance","niveau_information","effet_debats","importance_debatsTV","confiance_contenuRS","confiance_TVRadio","confiance_presseecrite","site_parti","like_parti","sophistication_etatsunis","sophistication_freeland","sophistication_legault","sophistication_macron","sophistication_pence","sophistication_singh","participation","vote_quebec2018_CAQ","vote_quebec2018_PQ","vote_quebec2018_PLQ","vote_quebec2018_QS","vote_quebec2018_vert","vote_quebec2018_autre","vote_quebec2018_bulletinnul","vote_quebec2018_pasvote","vote_US","vote_habitude","vote_memeparti","vote_france_enmarche","vote_france_republicains","vote_france_verts","vote_france_PS","vote_france_RN","vote_france_insoumise","vote_canada_liberal","vote_canada_conservateur","vote_canada_npd","vote_canada_bloc","vote_canada_vert","vote_canada_autre","vote_quebec_CAQ","vote_quebec_PQ","vote_quebec_PLQ","vote_quebec_QS","vote_quebec_vert","vote_quebec_autre","anciens_presidents","vote_strategique","aucune_preference","preference_parti","satisfaction_modescrutin","vote_chancesfavoris","importance_competence","motivation","premier_choix","strategie_vote2","autrechoix_frequence","refus_voteCANADA","refus_voteFRANCE"
"238",1990,30,NA,"$30,000 à $60,000","Homme","Canada","Français",2,"universitaire premier cycle","pas important du tout","oui, beaucoup","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","Satisfait",2,"Satisfait",3,"NPD","Les politiques sont adéquates, mais l'économie souffre","Un peu plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord",NA,"Ni en accord, ni en désaccord","Plutôt en désaccord","Parti libéral","Peu répandue",7,10,"Plutôt mauvaise opinion","détériorée","améliorée","Assez satisfaisant","Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","NPD",NA,"NPD",NA,2,"Plus importante",2,6,5,4,1,3,3,"Beaucoup",NA,3,"Assez satisfait","Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Oui, mais de moins en moins","Moyennement confiance","Moyennement","Plutôt en désaccord","Fortement d’accord","Plutôt en désaccord","Fortement d’accord","Plutôt en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord",7,9,"Très intéressé",7,"Le vote","Non",7,1,3,4,2,"De manière satisfaisante","Peu satisfait","Tout à fait en faveur",3,8,4,1,8,6,7,"Articles internet","Oui, plusieurs fois","Assez","Oui","Parti libéral",NA,"journaux en ligne-papier","Un peu","Oui, ceux qui partagent les opinions","2-3 heures/jour",1,"Systématiquement","Facebook","Peu","Plutôt d’accord",NA,"Plutôt d’accord","Plutôt en désaccord","Bien informé",0,10,"Beaucoup confiance","Moyennement confiance","Moyennement confiance","Non","Non",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,"Chirac",5,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",8,NA,"Oui",NA,"À aucune élection","Parti conservateur",NA
"239",1991,29,"Autre","moins de $30,000","Homme","Canada","Anglais",2,"Secondaire / Collégiales / CEGEP / Lycée / DEP","pas très important","oui, quelques-uns","Canada",1,1,1,"QC",1,"classe moyenne",1,1,"non","non","resté stable","Satisfait",1,"Satisfait",3,"Parti vert","Les politiques sont adéquates, permettent à l'économie de rester stable","Neutre","Ni en accord, ni en désaccord","Assez en désaccord","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord","Je ne sais pas","Peu répandue",5,7,"Ni bonne ni mauvaise opinion","resté stable","resté stable","Assez satisfaisant","Moyennement","Je vais faire un bilan des politiques mises en place pendant le mandat ","Parti vert",NA,"Parti vert",NA,1,"Ni plus ni moins importante",2,5,4,6,1,3,0,"Beaucoup",NA,5,"Assez satisfait","Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Moyennement","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Fortement en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt en désaccord",0,8,"Intéressé",8,"Le vote","Oui",7,1,4,3,2,"Pas vraiment","Neutre","Plutôt en faveur",2,10,5,5,6,4,9,"Journaux","Non","Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Oui, ceux qui partagent les opinions","Moins d'une heure/jour",3,"Souvent","Twitter","Beaucoup","Fortement d’accord",NA,"Fortement d’accord","Fortement d’accord","Plutôt informé",5,7,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Non","Non",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,NA,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,NA,10,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",10,"L'idéologie","Oui",NA,"Toutes les élections",NA,NA
"240",1991,29,"Étudiant","$60,000 à $90,000","Homme","Autre",NA,1,"universitaire deuxième cycle et plus","pas important du tout","oui, beaucoup","Canada",2,2,2,"QC",2,"classe moyenne",1,2,"non","non","resté stable","Satisfait",NA,"Peu satisfait",5,NA,"Les politiques sont adéquates, mais l'économie souffre","Neutre","Assez en désaccord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord",NA,"Ni en accord, ni en désaccord","Assez en désaccord","NDP","Assez répandue",3,5,"Plutôt bonne opinion","détériorée","resté stable","Peu satisfaisant","Moyennement",NA,"Parti libéral",NA,"Parti libéral",NA,2,"Plus importante",3,5,2,6,4,1,7,"Beaucoup",NA,3,"Assez satisfait","Pas du tout satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Moyennement","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord",7,7,"Intéressé",8,"Le vote","Non",6,3,1,4,2,"Ne s'applique pas","Ne s'applique pas","Ne s'applique pas",3,8,7,2,7,4,7,"Réseaux sociaux","Oui, plusieurs fois","Peu","Non",NA,NA,"Réseaux sociaux",NA,NA,"1-2 heure/jour",3,"Systématiquement","Twitter",NA,"Assez en désaccord",NA,NA,NA,"Pas très informé",0,10,NA,NA,NA,"Non","Non",1,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,2,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,"Choisir l'option la moins pire","Voter pour ce parti quand même","Ni satisfait, ni insatisfait","J'irais certainement voter",8,"L'idéologie","Oui",NA,"Une élection sur trois","Parti conservateur",NA
"241",1991,29,"Étudiant","Je ne sais pas / Préfère ne pas répondre)","Homme","Autre",NA,1,"universitaire premier cycle","Très important","oui, quelques-uns","Canada",2,2,2,"QC",2,"classe ouvrière",2,1,"non","non","resté stable","Peu satisfait",2,"Peu satisfait",4,"Parti libéral","Les politiques sont adéquates, permettent à l'économie de rester stable","Un peu plus d'ouverture","Plutôt en désaccord","Plutôt d’accord","Assez en désaccord","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Assez en désaccord",NA,"Plutôt d’accord","Plutôt en désaccord","Parti libéral","Peu répandue",3,3,"Ni bonne ni mauvaise opinion",NA,NA,NA,"Pas du tout",NA,"Parti libéral",NA,"Parti libéral",NA,NA,NA,5,1,4,6,2,3,4,"Aucune",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",1991,29,"Salarié à temps partiel","moins de $30,000","Femme","Canada","Français",2,"universitaire premier cycle",NA,"oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","resté stable","Peu satisfait",2,"Peu satisfait",5,"NPD",NA,"Neutre","Assez en désaccord","Fortement d’accord",NA,"Fortement d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord",NA,"Ni en accord, ni en désaccord",NA,"NDP",NA,6,0,"Ni bonne ni mauvaise opinion","détériorée","améliorée","Assez satisfaisant","Peu",NA,"NPD",NA,"NPD",NA,NA,"Plus importante",2,5,6,3,1,4,5,"Beaucoup",NA,4,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","Moyennement confiance","Peu","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord",7,5,"Intéressé",5,"Manifestations, pétitions et vote","Oui",5,1,4,2,3,"Pas vraiment","Neutre","Sans opinion, neutre",1,6,6,0,7,2,4,"Réseaux sociaux","Oui, plusieurs fois","Beaucoup","Non",NA,NA,"Famille","Un peu","Oui, ceux qui partagent les opinions","plus de 3 heures/jour",3,"Rarement","Facebook","Beaucoup","Fortement d’accord",NA,"Fortement d’accord","Plutôt en désaccord","Plutôt informé",5,9,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Non","Incertain",NA,NA,1,1,NA,1,1,0,0,0,1,0,0,0,0,NA,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,5,"Choisir l'option la moins pire","Ne pas voter","Ni satisfait, ni insatisfait","Je ne sais pas si je voterais",4,"Ni l'un ni l'autre","Oui",NA,"À aucune élection","Parti conservateur",NA
"243",1991,29,"Salarié à temps plein","$30,000 à $60,000","Femme","Autre",NA,1,"universitaire premier cycle","pas très important","oui, beaucoup","Canada",2,2,1,"QC",2,"classe moyenne",1,1,"non","non","détérioré","Peu satisfait",2,NA,5,NA,"Les politiques sont adéquates, mais l'économie souffre","Beaucoup plus d'ouverture","Plutôt en désaccord","Plutôt d’accord","Plutôt en désaccord","Plutôt d’accord","Plutôt en désaccord","Plutôt d’accord","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Assez en désaccord","Je ne sais pas","Assez répandue",11,10,"Ni bonne ni mauvaise opinion","détériorée","détériorée","Pas du tout satisfaisant","Grandement",NA,"Non, aucun",NA,"Non, aucun",NA,NA,"Beaucoup plus importante",6,4,5,1,3,2,5,"Un peu",NA,5,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, cela n'a rien à voir","Confiance","Pas du tout","Plutôt en désaccord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord",8,2,"désintéressé",1,"pas sûr","Non",6,1,3,2,4,"Pas vraiment","Neutre","Plutôt en faveur",3,8,5,5,5,5,5,"Télévision","Oui, une fois","Pas du tout","Non",NA,NA,"Réseaux sociaux","Pas du tout","Non","2-3 heures/jour",3,"Rarement","Facebook","Peu","Fortement d’accord",NA,"Fortement d’accord","Fortement en désaccord","Pas du tout informé",0,7,"Moyennement confiance","Un peu confiance",NA,"Oui","Oui",NA,NA,1,1,NA,1,NA,0,0,1,0,0,0,0,0,NA,"Non, mais j'ai déjà voté",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",9,"L'idéologie","Oui",NA,NA,"Bloc Québécois",NA
"244",1991,29,"Salarié à temps plein","$30,000 à $60,000","Homme","Canada","Français",2,"Secondaire / Collégiales / CEGEP / Lycée / DEP","pas important du tout","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","Très satisfait",2,"Très satisfait",3,"Parti libéral","Les politiques sont adéquates, permettent à l'économie de rester stable","Un peu plus d'ouverture","Plutôt en désaccord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord",NA,"Plutôt d’accord","Assez en désaccord","Parti libéral","Peu répandue",10,10,"Plutôt bonne opinion","détériorée","resté stable","Peu satisfaisant","Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Parti conservateur",NA,"Non, aucun",NA,1,"Plus importante",2,6,5,4,1,3,0,"Beaucoup",NA,4,"Assez satisfait","Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Non, pas envers l’élite politique mais la démocratie seulement","Beaucoup confiance","Moyennement","Plutôt d’accord","Fortement d’accord","Assez en désaccord","Fortement d’accord","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Fortement d’accord","Plutôt d’accord",7,10,"Intéressé",5,"Le vote","Oui",7,1,3,2,4,"Pas vraiment","Peu satisfait","Plutôt en faveur",0,10,3,2,5,5,5,"Articles internet","Non","Beaucoup","Oui","Parti libéral",NA,"journaux en ligne-papier","Pas du tout","Oui, de tous bords politiques","2-3 heures/jour",2,"Systématiquement","Twitter","Peu","Plutôt d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord","Bien informé",4,10,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Non","Non",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,"Macron",7,"Choisir l'option la moins pire","Voter pour ce parti quand même","Ni satisfait, ni insatisfait","J'irais certainement voter",8,"L'idéologie","Non","Oui","Une élection sur deux","Parti conservateur",NA
"245",1991,29,"Salarié à temps plein","$60,000 à $90,000","Femme","Canada","Français",2,"universitaire deuxième cycle et plus","pas très important","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","Satisfait",1,"Satisfait",5,NA,"Les politiques sont adéquates, mais l'économie souffre","Neutre","Ni en accord, ni en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord",NA,"Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","NDP","Assez répandue",9,7,"Plutôt bonne opinion","détériorée","resté stable","Assez satisfaisant","Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Non, aucun",NA,"Parti libéral",NA,1,"Ni plus ni moins importante",6,5,1,4,2,3,5,"Un peu",NA,8,"Assez satisfait","Peu satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Correctement","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt en désaccord","Fortement d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Ni en accord, ni en désaccord",6,2,"Indifférent",3,"Le vote","Non",5,3,2,1,4,"De manière satisfaisante",NA,"Plutôt en défaveur",2,10,2,2,2,5,4,"Réseaux sociaux","Non","Assez","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","2-3 heures/jour",4,"Rarement","Autre","Pas du tout","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Assez en désaccord","Plutôt informé",5,5,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Non","Oui",NA,NA,1,1,1,1,1,1,0,0,0,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,7,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",10,NA,"Oui",NA,"À aucune élection","Parti conservateur",NA
"246",1991,29,"Salarié à temps plein","moins de $30,000","Homme","Autre",NA,1,"universitaire deuxième cycle et plus","Très important","oui, beaucoup","Autre",2,2,2,NA,NA,"classe ouvrière",NA,2,"non","non","resté stable","Peu satisfait",2,"Peu satisfait",7,"Parti libéral","Les politiques sont adéquates, permettent à l'économie de rester stable","Un peu plus d'ouverture","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Assez en désaccord","Plutôt en désaccord","Plutôt d’accord",NA,"Plutôt d’accord","Assez en désaccord","Parti libéral","Assez répandue",7,10,"Plutôt bonne opinion","resté stable","détériorée","Peu satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,NA,NA,NA,1,"Plus importante",6,5,4,1,3,2,1,"Beaucoup",NA,5,"Assez satisfait","Peu satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, pas envers l’élite politique mais la démocratie seulement","Peu confiance","Pas du tout","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord",5,5,"Peu intéressé",2,"Manifestations, pétitions et vote","Oui",5,1,3,4,2,"Pas vraiment","Neutre","Sans opinion, neutre",NA,NA,7,3,2,3,6,"Articles internet","Oui, une fois","Assez","Oui",NA,NA,"Amis","Un peu","Oui, de tous bords politiques","1-2 heure/jour",4,"Souvent","Twitter","Peu","Assez en désaccord",NA,"Assez en désaccord","Ni en accord, ni en désaccord","Pas très informé",5,5,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Incertain","Incertain",NA,0,0,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"Non, mais la plupart du temps",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chirac",5,"Voter au hasard","Voter pour le parti adverse en espérant passer un message","Ni satisfait, ni insatisfait","Je ne sais pas si je voterais",5,"L'idéologie","Non","Ne sais pas","Une élection sur trois",NA,NA
"247",1991,29,"Travailleur autonome (avec ou sans employés)","Plus de $110,000","Femme","Canada","Français",2,"universitaire deuxième cycle et plus","pas important du tout","non aucun","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui",NA,"Peu satisfait",NA,"Peu satisfait",4,NA,"Les politiques sont adéquates, mais l'économie souffre","Moins d'ouverture","Plutôt d’accord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Plutôt d’accord",NA,"Assez répandue",7,8,NA,"détériorée","améliorée","Assez satisfaisant","Peu",NA,NA,NA,"Non, aucun",NA,NA,"Ni plus ni moins importante",5,2,4,6,1,3,5,"Un peu",NA,4,"Peu satisfait","Peu satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique",NA,"Peu confiance","Moyennement","Assez en désaccord","Fortement d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord",7,4,"Indifférent",3,"Le vote","Non",5,2,1,3,4,"De manière satisfaisante","Satisfait","Sans opinion, neutre",5,4,3,2,3,4,4,"Réseaux sociaux","Non","Peu","Non",NA,NA,"Famille","Un peu","Non","Plusieurs fois par semaine",4,"Souvent","Facebook","Peu","Fortement d’accord",NA,"Plutôt d’accord","Assez en désaccord","Pas très informé",0,6,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Incertain","Oui",NA,NA,1,NA,1,1,1,1,0,0,0,0,0,0,0,NA,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,NA,5,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",4,"L'idéologie","Ne sais pas",NA,"À aucune élection","Parti conservateur",NA
"248",1991,29,NA,"moins de $30,000","Homme","Autre",NA,1,"universitaire premier cycle","Très important","oui, quelques-uns","Canada",2,2,1,"QC",2,"classe moyenne",1,1,"non","non","amélioré","Très satisfait",1,"Très satisfait",10,"Parti libéral","Les politiques sont idéales","Beaucoup plus d'ouverture","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord",NA,"Fortement d’accord","Fortement d’accord","Parti libéral","Très répandue",11,NA,"Très bonne opinion","détériorée","resté stable","Très satisfaisant","Grandement","Je vais faire un bilan des politiques mises en place pendant le mandat ","Parti libéral",NA,"Parti libéral",NA,1,"Beaucoup plus importante",6,5,1,4,2,3,10,"Beaucoup",NA,10,"Très satisfait","Grandement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Oui, totalement","Pas confiance","Pas du tout","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord",10,10,"Très intéressé",10,"Le vote","Oui",NA,1,3,4,2,"Tout à fait","Tout à fait satisfait","Tout à fait en faveur",10,10,0,5,0,5,5,"Télévision","Oui, plusieurs fois","Beaucoup","Non",NA,NA,"journaux en ligne-papier","Oui","Oui, ceux qui partagent les opinions","plus de 3 heures/jour",NA,"Souvent","Youtube","Beaucoup","Fortement d’accord",NA,"Fortement d’accord","Fortement d’accord","Bien informé",10,10,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Oui","Incertain",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,"Chirac",10,"Choisir l'option la moins pire","Voter pour ce parti quand même","Tout à fait satisfait","J'irais certainement voter",10,"L'idéologie","Oui",NA,"Toutes les élections","Parti libéral",NA
"249",1992,28,"Au chômage/à la recherche d’un travail",NA,"Homme","Autre",NA,1,"universitaire deuxième cycle et plus","Très important","oui, quelques-uns","Autre",1,1,1,NA,NA,"classe ouvrière",2,1,"oui","oui","détérioré","Peu satisfait",1,"Peu satisfait",8,"Bloc Québécois","Les politiques sont mauvaises","Moins d'ouverture","Plutôt en désaccord","Ni en accord, ni en désaccord","Plutôt en désaccord","Fortement d’accord","Ni en accord, ni en désaccord","Plutôt en désaccord","Fortement d’accord",NA,"Fortement d’accord","Assez en désaccord","Parti libéral","Très répandue",10,10,"Plutôt bonne opinion","détériorée","détériorée","Pas du tout satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,NA,NA,NA,1,"Plus importante",5,2,6,4,3,1,7,"Beaucoup",NA,5,"Pas du tout satisfait","Pas du tout satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","Moyennement confiance","Peu","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Plutôt en désaccord","Plutôt d’accord","Plutôt d’accord",7,6,"Intéressé",7,"Le vote","Ne sais pas",8,2,3,4,1,"Ne s'applique pas","Ne s'applique pas","Ne s'applique pas",NA,9,5,5,5,5,5,"Réseaux sociaux","Oui, plusieurs fois","Assez","Non",NA,NA,"Réseaux sociaux","Oui","Oui, de tous bords politiques","Plusieurs fois par semaine",4,"Souvent","Facebook","Beaucoup","Fortement d’accord",NA,"Plutôt d’accord","Plutôt en désaccord","Plutôt informé",7,10,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Non","Non",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarkozy",7,"Choisir l'option la moins pire","Voter pour le parti adverse en espérant passer un message","Ni satisfait, ni insatisfait","J'irais certainement voter",8,"L'idéologie","Oui",NA,"À aucune élection",NA,NA
